year,data_value
2015,7786
2020,67711
2021,-6052
2010,4089
2010,597935
2021,12252538
2007,244
2009,41
2019,173565
2007,74344
2011,1108
2011,89
2020,234407
2020,35562
2019,554748
2021,132225
2011,9633149
2018,2732371
2009,8828660
2015,6864
2019,10043353
2012,595712
2016,5824
2012,106
2007,0
2013,-1828
2008,62787
2015,6117
2020,3906790
2021,612627
2015,3089
2012,218
2013,10088057
2016,-603527
2021,3044
2019,75629
2014,7893553
2018,75629
2016,-3670
2018,21527
2007,20
2020,1014033
2010,134160
2016,-790784
2007,0
2018,10043353
2011,133223
2018,-3112717
2011,486810
2008,83683
2008,8496923
2013,-186129
2014,631484
2013,638267
2017,51043
2013,155892
2019,13580242
2014,5568
2009,557395
2011,-147462
2013,66460
2007,0
2017,850709
2017,23046
2007,0
2013,14854
2011,222216
2010,7474182
2018,850709
2017,2284325
2014,11112357
2014,3089
2017,5751
2015,2448087
2010,89
2009,339769
2020,18114194
2010,38945
2012,153708
2021,-34995
2011,61707
2015,2256009
2009,1046967
2007,13983
2008,8326498
2012,49873
2012,61707
2009,86
2018,7047289
2016,-163762
2018,33285
2016,10455262
2012,1857303
2013,68289
2015,-57643
2010,8828660
2019,814815
2020,7933
2020,9608139
2020,1086852
2018,9280335
2014,180481
2021,-1111340
2014,1024300
2017,2700808
2012,7446404
2008,170424
2007,561559
2016,1013362
2015,76467
2011,758855
2014,633278
2019,96663
2016,7232382
2011,469705
2020,1307624
2021,-4318487
2017,1292
2020,4533952
2013,128
2017,556820
2017,448046
2013,7446404
2017,9280335
2007,0
2011,-8
2015,7893553
2017,95843
2017,163942
2011,37576
2018,-295960
2015,899684
2019,215961
2012,192012
2010,64060
2021,3906790
2008,929297
2010,506747
2019,2560850
2011,-326038
2019,2203472
2016,7786
2012,10152377
2014,888989
2020,132225
2008,316019
2020,4016
2009,1036
2019,689285
2010,9633149
2014,1596
2009,316019
2013,-64320
2007,8326498
2008,553863
2008,1046042
2014,66460
2012,469705
2016,702123
2013,1857303
2016,578591
2016,2284325
2012,298260
2016,708525
2009,5125
2018,-528899
2010,147041
2018,422837
2014,7260275
2015,626873
2012,6581
2008,244
2010,1116
2018,23701
2015,11112357
2012,812190
2008,-2062
2021,60881
2012,623413
2017,2732371
2019,576488
2007,929297
2007,64848
2020,3039945
2011,4937
2016,7835910
2019,770709
2015,708525
2014,3143
2011,68148
2015,5449
2009,8496923
2008,25281
2008,6923293
2018,95843
2015,195847
2020,12648085
2008,5023
2018,2174
2016,11246046
2017,9530
2013,1326
2021,139773
2012,1108
2009,331737
2012,666690
2012,148584
2007,7019488
2009,1077
2007,0
2013,580822
2008,1036
2020,26294
2019,2892757
2015,56682
2018,13156070
2021,97229
2016,960
2015,133689
2015,623
2021,18114194
2017,7232382
2021,-5861656
2020,40639
2018,4538
2015,7835910
2013,1596
2008,83
2016,72797
2014,638267
2017,11996
2011,7148144
2009,1046042
2007,0
2009,62787
2010,115446
2015,11246046
2008,-96194
2017,702123
2010,39
2009,1308914
2017,148586
2016,56170
2007,0
2020,96663
2010,770652
2018,132208
2013,623413
2021,66933
2012,9485687
2019,40639
2021,-323572
2020,2892757
2017,72797
2009,262872
2009,1273
2014,1948646
2014,703076
2021,1128523
2014,1493
2014,69604
2009,44141
2009,64060
2016,4211
2017,2047953
2007,0
2019,46243
2013,807045
2018,-2233046
2014,64809
2019,5800
2021,2795450
2017,789364
2019,16938
2013,1948646
2012,7148144
2013,91344
2011,-6441
2010,804489
2020,66933
2015,703076
2012,68289
2021,40248
2007,174783
2014,247
2009,23750
2011,7474182
2018,2203472
2021,12648085
2011,1443074
